line	FT	PH	GY	seqname
MG998	62.3418240486042	270.329318782659	245.524452737874	MG998-x-MG1522
MG573	62.660152450776	279.546006091696	249.0758050978	MG573-x-MG1522
MG1440	64.4109586627208	267.052523263166	241.703687435508	MG1440-x-MG1522
MG270	61.227674641003	238.324706039973	207.149808223724	MG270-x-MG1522
MG263	61.8643314453465	270.854714484333	240.42119278856	MG263-x-MG1522
MG561	63.4559734562054	265.805572741122	227.393184666645	MG561-x-MG1522
MG866	62.5009882496901	266.687168918508	244.648081395793	MG866-x-MG1522
MG166	61.8643314453465	252.661775187364	218.116473387054	MG166-x-MG1522
MG1428	61.227674641003	267.960585619177	245.373047124285	MG1428-x-MG1522
MG661	62.9784808529478	270.934859591368	245.652702202569	MG661-x-MG1522
MG1437	61.5460030431747	264.309530743133	238.110030560205	MG1437-x-MG1522
MG309	62.5009882496901	254.790073029741	212.713964686785	MG309-x-MG1522
MG598	62.3418240486042	278.432879605097	266.239413149934	MG598-x-MG1522
MG1203	61.8643314453465	250.38209214281	230.448015670426	MG1203-x-MG1522
MG1216	61.3868388420888	245.52886066124	219.927997075868	MG1216-x-MG1522
MG942	59.7951968312299	265.244556991876	224.117479589232	MG942-x-MG1522
MG313	62.660152450776	246.125496458057	223.580434955822	MG313-x-MG1522
MG124	62.0234956464324	268.014015690533	216.361058839044	MG124-x-MG1522
MG1448	63.4559734562054	276.099766489186	237.923000090859	MG1448-x-MG1522
MG953	63.4559734562054	272.27951638718	219.540576817936	MG953-x-MG1522
MG420	63.9334660594631	275.636705870761	221.108960896599	MG420-x-MG1522
MG1207	61.3868388420888	276.2066266319	241.757124712464	MG1207-x-MG1522
MG876	61.227674641003	259.76797467781	218.415722138008	MG876-x-MG1522
MG103	60.9093462388312	263.846470124708	227.361122300471	MG103-x-MG1522
MG535	62.3418240486042	276.340201810292	240.514708023233	MG535-x-MG1522
MG1497	60.9093462388312	264.46091594531	220.537182033168	MG1497-x-MG1522
MG1126	62.5009882496901	277.034792737929	223.772809152865	MG1126-x-MG1522
MG634	62.0234956464324	269.563487759879	234.957231219791	MG634-x-MG1522
MG1050	63.9334660594631	273.063157433745	244.18852081397	MG1050-x-MG1522
MG957	61.8643314453465	280.8995678994	267.440415949524	MG957-x-MG1522
MG1006	60.4318536355735	263.098449125714	226.198861526675	MG1006-x-MG1522
MG203	62.5009882496901	270.516324032407	253.700356112168	MG203-x-MG1522
MG138	63.1376450540336	246.926947528408	226.324439127522	MG138-x-MG1522
MG233	62.0234956464324	272.395281541786	237.805438081555	MG233-x-MG1522
MG1020	62.8193166518619	279.9111115793	223.326607890281	MG1020-x-MG1522
MG402	62.5009882496901	270.961574627047	240.451251256847	MG402-x-MG1522
MG1320	NA	NA	NA	MG1320-x-MG1522
MG551	62.0234956464324	266.6960739304	239.413900117936	MG551-x-MG1522
MG853	62.5009882496901	276.197721620007	251.709817545551	MG853-x-MG1522
MG1327	NA	NA	NA	MG1327-x-MG1522
MG585	60.9093462388312	246.9358525403	202.351586059248	MG585-x-MG1522
MG250	60.7501820377453	269.875163176126	241.837280627898	MG250-x-MG1522
MG83	62.0234956464324	259.518634344812	217.988223922359	MG83-x-MG1522
MG341	61.7051672442606	278.236969343456	233.440503179972	MG341-x-MG1522
MG1335	NA	NA	NA	MG1335-x-MG1522
MG868	62.0234956464324	NA	228.072728709724	MG868-x-MG1522
MG502	61.3868388420888	266.589213787687	226.897999229065	MG502-x-MG1522
MG401	62.1826598475183	274.692774610126	243.459101983518	MG401-x-MG1522
MG882	64.2517944616349	276.402536893541	223.166296059412	MG882-x-MG1522
MG660	61.5460030431747	242.234006260908	208.394451470614	MG660-x-MG1522
MG1001	63.2968092551195	263.481364637103	235.25447607286	MG1001-x-MG1522
MG246	63.9334660594631	263.810850077137	225.20047507333	MG246-x-MG1522
MG213	62.3418240486042	271.255440019509	223.21706147252	MG213-x-MG1522
MG722	61.8643314453465	287.979052354168	239.352447249436	MG722-x-MG1522
MG1323	NA	NA	NA	MG1323-x-MG1522
MG848	63.4559734562054	272.778197053176	229.623523013603	MG848-x-MG1522
MG976	63.4559734562054	275.529845728048	230.728814887394	MG976-x-MG1522
MG1259	62.9784808529478	274.390004205771	238.818074479875	MG1259-x-MG1522
MG1059	59.9543610323158	259.981694963237	221.85173904629	MG1059-x-MG1522
MG432	62.0234956464324	248.556564704788	234.743482111966	MG432-x-MG1522
MG1124	64.4109586627208	287.622851878456	221.536459112249	MG1124-x-MG1522
MG800	61.5460030431747	253.258410984181	236.293163143695	MG800-x-MG1522
MG1083	62.660152450776	281.98597935032	256.097908609388	MG1083-x-MG1522
MG334	64.8884512659785	272.698051946141	225.779378902569	MG334-x-MG1522
MG144	60.4318536355735	275.903856227545	224.865601466618	MG144-x-MG1522
MG1185	62.3418240486042	262.377143162398	225.615504582117	MG1185-x-MG1522
MG337	61.227674641003	247.9243088604	214.009818652972	MG337-x-MG1522
MG1268	62.1826598475183	265.556232408123	260.994544416685	MG1268-x-MG1522
MG1032	62.9784808529478	266.179583240619	213.539570615758	MG1032-x-MG1522
MG1036	62.8193166518619	265.627472503266	228.845342667929	MG1036-x-MG1522
MG1487	59.9543610323158	251.281498343982	214.733893755728	MG1487-x-MG1522
MG72	61.227674641003	273.544028075956	230.380328448495	MG72-x-MG1522
MG507	61.5460030431747	263.499174660889	227.978322849315	MG507-x-MG1522
MG1056	63.6151376572913	258.254122656036	235.558400585548	MG1056-x-MG1522
MG838	59.4768684290582	255.244228636273	208.238592741706	MG838-x-MG1522
MG196	60.1135252334017	275.805901096724	230.797139208753	MG196-x-MG1522
MG1143	65.525108070322	278.308209438598	244.060271349275	MG1143-x-MG1522
MG1033	60.9093462388312	251.922659200263	223.67528612242	MG1033-x-MG1522
MG1165	65.6842722714079	257.132091157544	212.959776160783	MG1165-x-MG1522
MG669	62.0234956464324	264.273910695562	232.870505554653	MG669-x-MG1522
MG1129	61.227674641003	246.659797171624	219.201250109264	MG1129-x-MG1522
MG1411	63.4559734562054	263.606034803603	225.031257025182	MG1411-x-MG1522
MG347	62.660152450776	263.107354137606	230.388344040039	MG347-x-MG1522
MG756	63.1376450540336	271.469160304936	243.373602340388	MG756-x-MG1522
MG1399	62.660152450776	282.083934481141	245.631327291786	MG1399-x-MG1522
MG1314	NA	NA	NA	MG1314-x-MG1522
MG1153	61.5460030431747	275.538750739941	243.231993556454	MG1153-x-MG1522
MG757	63.1376450540336	NA	231.083028640469	MG757-x-MG1522
MG1152	62.3418240486042	286.465200332393	251.830051418702	MG1152-x-MG1522
MG1191	62.1826598475183	264.265005683669	229.680300120369	MG1191-x-MG1522
MG808	60.4318536355735	254.69211789892	205.061746626661	MG808-x-MG1522
MG317	63.4559734562054	257.328001419186	230.024970556737	MG317-x-MG1522
MG1445	NA	NA	NA	MG1445-x-MG1522
MG1302	63.7743018583772	264.594491123702	230.030314284432	MG1302-x-MG1522
MG441	61.3868388420888	246.401551826733	220.719536740781	MG441-x-MG1522
MG1202	61.5460030431747	269.198382272274	225.29042781842	MG1202-x-MG1522
MG764	61.5460030431747	253.035785686861	214.263645718514	MG764-x-MG1522
MG1482	61.5460030431747	259.233673964243	238.831433799114	MG1482-x-MG1522
MG480	60.4318536355735	262.849108792715	210.028741519737	MG480-x-MG1522
MG1412	61.7051672442606	260.462565605448	238.087765023687	MG1412-x-MG1522
MG624	61.0685104399171	276.865597511966	224.850906215455	MG624-x-MG1522
MG123	61.8643314453465	272.413091565571	230.034322080204	MG123-x-MG1522
MG583	62.1826598475183	276.874502523859	243.21329050952	MG583-x-MG1522
MG932	61.7051672442606	275.262695371264	229.560066247218	MG932-x-MG1522
MG599	61.8643314453465	252.109664450011	245.01679860679	MG599-x-MG1522
MG1479	63.2968092551195	258.369887810642	219.930668939716	MG1479-x-MG1522
MG426	62.1826598475183	280.614607518831	228.705069815919	MG426-x-MG1522
MG582	64.5701228638067	282.546995099566	221.234538497446	MG582-x-MG1522
MG555	62.5009882496901	251.842514093227	221.02346125347	MG555-x-MG1522
MG744	63.1376450540336	267.550955072108	232.60599103372	MG744-x-MG1522
MG1034	60.4318536355735	258.939808571781	226.260314395174	MG1034-x-MG1522
MG428	61.3868388420888	239.651552811999	203.541456097258	MG428-x-MG1522
MG1447	60.1135252334017	281.451678636753	224.83888282814	MG1447-x-MG1522
MG698	63.6151376572913	280.089211817156	244.987408104464	MG698-x-MG1522
MG1128	60.2726894344876	240.176948513673	204.145297326863	MG1128-x-MG1522
MG1444	61.3868388420888	249.349110763246	215.492703088506	MG1444-x-MG1522
MG546	61.5460030431747	269.652537878807	234.422858450229	MG546-x-MG1522
MG952	61.5460030431747	254.781168017848	231.066997457382	MG952-x-MG1522
MG167	60.9093462388312	244.451354222212	185.73882727931	MG167-x-MG1522
MG305	60.9093462388312	262.982683971107	221.349428642902	MG305-x-MG1522
MG451	63.1376450540336	274.951019955016	247.899739698576	MG451-x-MG1522
MG643	62.0234956464324	265.841192788693	230.36162540156	MG643-x-MG1522
MG607	61.227674641003	271.638355530899	219.359780702021	MG607-x-MG1522
MG1264	61.8643314453465	260.026220022701	221.488365562988	MG1264-x-MG1522
MG1147	61.3868388420888	283.918366931056	255.410348974766	MG1147-x-MG1522
MG201	61.7051672442606	257.817777073289	224.523602894099	MG201-x-MG1522
MG485	60.9093462388312	NA	205.009645281629	MG485-x-MG1522
MG293	63.7743018583772	252.127474473797	224.47283748099	MG293-x-MG1522
MG570	65.3659438692361	NA	192.260846931811	MG570-x-MG1522
MG409	62.660152450776	272.60009681532	239.5795556765	MG409-x-MG1522
MG539	63.6151376572913	247.069427718692	214.514800920208	MG539-x-MG1522
MG1280	60.9093462388312	269.21619229606	211.753429633498	MG1280-x-MG1522
MG162	62.5009882496901	260.952341259551	230.404375223125	MG162-x-MG1522
MG880	62.8193166518619	263.21421428032	245.143712139561	MG880-x-MG1522
MG1209	61.3868388420888	272.324041446643	257.347450264427	MG1209-x-MG1522
MG528	63.2968092551195	245.511050637454	218.543971602703	MG528-x-MG1522
MG705	63.1376450540336	NA	199.94690859622	MG705-x-MG1522
MG1298	62.5009882496901	282.609330182815	246.606557596236	MG1298-x-MG1522
MG686	61.3868388420888	269.269622367417	212.059358044072	MG686-x-MG1522
MG67	60.2726894344876	250.515667321202	221.838379727051	MG67-x-MG1522
MG694	61.0685104399171	277.871863855851	237.858875358511	MG694-x-MG1522
MG65	61.5460030431747	287.747522044955	244.298735197692	MG65-x-MG1522
MG369	60.4318536355735	252.180904545154	204.4044681201	MG369-x-MG1522
MG130	59.7951968312299	255.529189016842	224.677235065348	MG130-x-MG1522
MG433	62.0234956464324	271.67397557847	246.551784387356	MG433-x-MG1522
MG933	62.3418240486042	267.408474881824	233.41022205191	MG933-x-MG1522
MG1164	61.5460030431747	258.432222893892	223.33996720952	MG1164-x-MG1522
MG1248	59.8850750920258	NA	229.957853768338	MG1248-x-MG1522
MG519	61.3868388420888	274.443434277127	225.146147170638	MG519-x-MG1522
MG509	60.5910178366594	271.958935959039	223.246451974846	MG509-x-MG1522
MG236	60.9093462388312	257.167711205116	219.260031113916	MG236-x-MG1522
MG974	61.227674641003	263.347789458712	215.661030510918	MG974-x-MG1522
MG828	62.8193166518619	261.744887318009	230.441781316995	MG828-x-MG1522
MG327	63.4559734562054	268.298976071103	241.890717904854	MG327-x-MG1522
MG773	63.2968092551195	254.665402863242	221.953269872507	MG773-x-MG1522
MG1450	60.5910178366594	253.258410984181	221.239882225142	MG1450-x-MG1522
MG699	61.0685104399171	234.308545676325	184.394879763862	MG699-x-MG1522
MG1489	60.7501820377453	230.995881252207	216.850009923193	MG1489-x-MG1522
MG1208	63.4559734562054	271.540400400078	240.180725042257	MG1208-x-MG1522
MG1510	62.5009882496901	291.514342075605	246.205778019065	MG1510-x-MG1522
MG253	62.660152450776	252.848780437113	203.549471688802	MG253-x-MG1522
MG1423	63.1376450540336	248.586248065891	241.314040619916	MG1423-x-MG1522
MG153	60.9093462388312	NA	231.099727789518	MG153-x-MG1522
MG531	60.7501820377453	273.499503016492	221.934566825572	MG531-x-MG1522
MG710	62.1826598475183	268.388026190031	226.038549695806	MG710-x-MG1522
MG653	63.1376450540336	260.738620974124	225.578989113983	MG653-x-MG1522
MG928	61.5460030431747	256.820415741297	248.7841266322	MG928-x-MG1522
MG429	61.7051672442606	244.611644436282	209.285072744311	MG429-x-MG1522
MG211	60.5910178366594	261.976417627222	219.767685245	MG211-x-MG1522
MG128	61.0685104399171	259.865929808631	197.070201857866	MG128-x-MG1522
MG905	63.1376450540336	255.288753695737	224.368634790926	MG905-x-MG1522
MG306	62.0234956464324	289.038748769409	248.70308009103	MG306-x-MG1522
MG1336	NA	NA	NA	MG1336-x-MG1522
MG1150	63.4559734562054	287.008406057854	224.951101109748	MG1150-x-MG1522
MG991	60.9093462388312	253.676946543142	222.567798557503	MG991-x-MG1522
MG1474	62.1826598475183	297.614275222166	231.577323452313	MG1474-x-MG1522
MG1290	61.0685104399171	255.502473981164	226.808046483975	MG1290-x-MG1522
MG835	63.9334660594631	280.659132578294	223.740746786691	MG835-x-MG1522
MG601	61.7051672442606	261.762697341795	228.705069815919	MG601-x-MG1522
MG145	61.3868388420888	253.516656329072	218.717642752811	MG145-x-MG1522
MG758	63.1376450540336	256.4464052418	234.593189770527	MG758-x-MG1522
MG734	61.7051672442606	245.938491208308	209.913851374282	MG734-x-MG1522
MG379	60.7501820377453	265.013026682663	218.693595978181	MG379-x-MG1522
MG108	61.8643314453465	271.83426579254	225.076678710595	MG108-x-MG1522
MG382	61.0685104399171	256.535455360728	217.656912805231	MG382-x-MG1522
MG1148	62.1826598475183	286.545345439428	243.732968027918	MG1148-x-MG1522
MG536	61.7051672442606	265.039741718342	224.216338551601	MG536-x-MG1522
MG154	60.5910178366594	249.179915537283	207.90460976073	MG154-x-MG1522
MG371	62.3418240486042	278.860320175951	222.562454829807	MG371-x-MG1522
MG1274	63.4559734562054	289.0252320415	236.878301326366	MG1274-x-MG1522
MG803	63.4559734562054	281.66539892218	228.405821064965	MG803-x-MG1522
MG79	60.1135252334017	NA	214.633253555247	MG79-x-MG1522
MG1149	63.6151376572913	281.05985811347	254.969491439877	MG1149-x-MG1522
MG1012	62.8193166518619	263.971140291207	242.344934758982	MG1012-x-MG1522
MG245	63.1376450540336	259.750164654025	233.752220624429	MG245-x-MG1522
